id,file,dataset,kind,description,source,history,licence,credit,ships_in_installer,cleared,notes
DR-11,backend/app/library/components.json,engine.combustion.full_load_torque,curve,"Combustion engine full-load torque vs speed: 12 points, 800-6000 rpm, 178 N m peak.",Provenance unknown,"First committed in 064301a 'Second version' (Eyad, 2026-07-07), the root of the main history, which imported the whole app with no source notes; unchanged since.",Unknown (not recorded),None recorded,yes,pending,Also inlined in the UI bundle through DR-18. Owner to confirm it was written for SimStudio (then record 'Synthetic / created for SimStudio' and the SimStudio LICENSE) or name its source.
DR-12,backend/app/library/components.json,engine.combustion.drag_torque,curve,"Combustion engine drag (motoring) torque vs speed: 7 points, 18-60 N m.",Provenance unknown,"First committed in 064301a 'Second version' (Eyad, 2026-07-07), the root of the main history, which imported the whole app with no source notes; unchanged since.",Unknown (not recorded),None recorded,yes,pending,Also inlined in the UI bundle through DR-18. Owner to confirm it was written for SimStudio (then record 'Synthetic / created for SimStudio' and the SimStudio LICENSE) or name its source.
DR-13,backend/app/library/components.json,engine.combustion.fuel_map,map,"Combustion engine fuel flow vs speed (1000-6000 rpm, 6 points) and torque (0-175 N m, 5 points), kg/h.",Provenance unknown,"First committed in 064301a 'Second version' (Eyad, 2026-07-07), the root of the main history, which imported the whole app with no source notes; unchanged since.",Unknown (not recorded),None recorded,yes,pending,Also inlined in the UI bundle through DR-18. Owner to confirm it was written for SimStudio (then record 'Synthetic / created for SimStudio' and the SimStudio LICENSE) or name its source.
DR-14,backend/app/library/components.json,mech.gearbox.ratios,table,"Gearbox ratios for 6 gears: 3.9, 2.4, 1.6, 1.15, 0.87, 0.7.",Provenance unknown,"First committed in 064301a 'Second version' (Eyad, 2026-07-07), the root of the main history, which imported the whole app with no source notes; unchanged since.",Unknown (not recorded),None recorded,yes,pending,Also inlined in the UI bundle through DR-18. Owner to confirm it was written for SimStudio (then record 'Synthetic / created for SimStudio' and the SimStudio LICENSE) or name its source.
DR-15,backend/app/library/components.json,fuelcell.stack.polarization,curve,"Fuel-cell stack voltage vs current: 9 points, 420-264 V over 0-400 A.",Provenance unknown,"First committed in 064301a 'Second version' (Eyad, 2026-07-07), the root of the main history, which imported the whole app with no source notes; unchanged since.",Unknown (not recorded),None recorded,yes,pending,Also inlined in the UI bundle through DR-18. Owner to confirm it was written for SimStudio (then record 'Synthetic / created for SimStudio' and the SimStudio LICENSE) or name its source.
DR-16,backend/app/library/components.json,signal.lookup.table_1d,table,"Lookup block starter table: 2 points (0 to 0, 1 to 1), meant to be replaced by the user.",Provenance unknown,"First committed in 064301a 'Second version' (Eyad, 2026-07-07), the root of the main history, which imported the whole app with no source notes; unchanged since.",Unknown (not recorded),None recorded,yes,pending,"A trivial identity placeholder, not real data. Also inlined in the UI bundle through DR-18. Owner to confirm it was written for SimStudio (then record 'Synthetic / created for SimStudio' and the SimStudio LICENSE) or name its source."
DR-17,backend/app/library/components.json,signal.lookup.table_2d,table,"Lookup block starter table: 2 x 2 points (1 only at (1, 1)), meant to be replaced by the user.",Provenance unknown,"First committed in 064301a 'Second version' (Eyad, 2026-07-07), the root of the main history, which imported the whole app with no source notes; unchanged since.",Unknown (not recorded),None recorded,yes,pending,"A trivial placeholder, not real data. Also inlined in the UI bundle through DR-18. Owner to confirm it was written for SimStudio (then record 'Synthetic / created for SimStudio' and the SimStudio LICENSE) or name its source."
DR-18,frontend/src/data/componentLibrary.json,*,generated-copy,Copy of backend/app/library/components.json that frontend/scripts/sync-data.mjs makes before every build; inlined in the UI bundle as its offline fallback.,Copy of DR-04 to DR-17,"Tracked since 064301a; generated by the sync script since 4af7f9c (Phase 0).",Same as DR-04 to DR-17,Same as DR-04 to DR-17,yes,pending,Never edit by hand; register changes against the backend file.
DR-19,frontend/src/data/demoProject.json,*,generated-copy,Copy of backend/projects/bev-car.json made by frontend/scripts/sync-data.mjs; the project the UI opens when the engine is unreachable.,Copy of DR-01,"Tracked since 064301a; generated by the sync script since 4af7f9c (Phase 0).",Same as DR-01,Same as DR-01,yes,pending,Never edit by hand; register changes against the backend file.
DR-20,backend/tests/golden/bev-car__case-city.json,*,test-fixture,"Solver output for the BEV 'City Cycle', frozen as the regression reference (test_golden.py).",Generated by SimStudio's solver (backend/tests/update_golden.py) from DR-01,"Created in 4af7f9c (Phase 0).",Derived from DR-01 and DR-04 to DR-17; stays in the repository,Same as DR-01,no,pending,Test data only; never bundled.
DR-21,backend/tests/golden/hybrid-car__case-mixed.json,*,test-fixture,"Solver output for the hybrid 'Mixed Cycle', frozen as the regression reference (test_golden.py).",Generated by SimStudio's solver (backend/tests/update_golden.py) from DR-02,"Created in 4af7f9c (Phase 0).",Derived from DR-02 and DR-04 to DR-17; stays in the repository,Same as DR-02,no,pending,Test data only; never bundled.
